poll_id,state,Poll,link,Date,poll_date,Sample,votes,candidate,full_name,party,versus,field,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,5,Fleming,John Fleming,R,8,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,4,Maness,Rob Maness,R,8,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,4,Fayard,Caroline Fayard,D,8,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,2,Hebert,Troy Hebert,I,8,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,1,Skrmetta,Eric Skrmetta,R,8,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,32,not sure,not sure,NA,8,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,31,McGinty,Katie McGinty,D,RD.1,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,51,Toomey,Pat Toomey,R,RD.1,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,1,other,other,NA,RD.1,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,3,vote,no vote,NA,RD.1,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,15,not sure,not sure,NA,RD.1,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,34,Sestak,Joe Sestak,D,RD.2,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,49,Toomey,Pat Toomey,R,RD.2,all,
